GLOBALEVENTID,SQLDATE,MONTHYEAR,YEAR,EventRootCode,QuadClass,GoldsteinScale,AvgTone,Actor1CountryCode,Actor1Type1Code,ActionGeo_ADM1Code,NumMentions,sentiment_label,stability_label,event_polarity,geo_zone,cluster_id,cluster_name,media_intensity,tension_score,sentiment_tb_score,sentiment_tb_label,rf_sentiment_pred,rf_sentiment_proba_neg,rf_sentiment_proba_neu,rf_sentiment_proba_pos
1251882588,2025-07-14,202507,2025,4,1,1.0,0.0,BEN,UNKNOWN,BN,2,neutre,neutre,cooperation,sud_centre,0,Evenements neutres,0.2823,-0.5,0.0171,neutre,neutre,0.0,1.0,0.0
1251822033,2025-07-13,202507,2025,17,4,-5.0,-7.258834766,BEN,UNKNOWN,BN,2,negatif,tres_instable,conflit,sud_centre,1,Conflits et tensions,0.2823,6.1294,-0.786,negatif,negatif,1.0,0.0,0.0
1251922328,2025-07-14,202507,2025,1,1,0.0,4.054054054,BEN,UNKNOWN,BN,2,positif,neutre,cooperation,sud_centre,0,Evenements neutres,0.2823,2.027,0.3799,positif,positif,0.0,0.0,1.0
1237777040,2025-04-13,202504,2025,9,2,-2.0,-2.435064935,BEN,UNKNOWN,BN,2,negatif,instable,cooperation,sud_centre,0,Evenements neutres,0.2823,2.2175,-0.3072,negatif,negatif,0.99,0.01,0.0
1237777041,2025-04-13,202504,2025,11,3,-2.0,-2.435064935,BEN,UNKNOWN,BN,2,negatif,instable,cooperation,sud_centre,1,Conflits et tensions,0.2823,2.2175,-0.1574,negatif,negatif,1.0,0.0,0.0
1237777042,2025-04-13,202504,2025,13,3,-5.8,-2.435064935,BEN,UNKNOWN,BN,2,negatif,tres_instable,conflit,sud_centre,1,Conflits et tensions,0.2823,4.1175,-0.2418,negatif,negatif,1.0,0.0,0.0
1237748607,2025-04-13,202504,2025,1,1,0.0,-6.578947368,BEN,UNKNOWN,BN,2,negatif,neutre,cooperation,sud_centre,0,Evenements neutres,0.2823,3.2895,-0.5058,negatif,negatif,1.0,0.0,0.0
1237742896,2025-04-13,202504,2025,4,1,2.8,-2.43902439,BEN,UNKNOWN,BN,2,negatif,stable,cooperation,sud_centre,0,Evenements neutres,0.2823,-0.1805,-0.2488,negatif,negatif,1.0,0.0,0.0
1237742749,2025-04-13,202504,2025,4,1,1.9,-2.43902439,UNKNOWN,UNKNOWN,BN,2,negatif,stable,cooperation,sud_centre,0,Evenements neutres,0.2823,0.2695,-0.3006,negatif,negatif,1.0,0.0,0.0
1237742750,2025-04-13,202504,2025,17,4,-5.0,-2.43902439,UNKNOWN,UNKNOWN,BN,2,negatif,tres_instable,conflit,sud_centre,1,Conflits et tensions,0.2823,3.7195,-0.365,negatif,negatif,1.0,0.0,0.0
1237743633,2025-04-13,202504,2025,4,1,1.9,-2.43902439,NGA,UNKNOWN,BN,5,negatif,stable,cooperation,sud_centre,0,Evenements neutres,0.4604,0.2695,-0.3882,negatif,negatif,1.0,0.0,0.0
1237743635,2025-04-13,202504,2025,17,4,-5.0,-2.43902439,NGA,UNKNOWN,BN,6,negatif,tres_instable,conflit,sud_centre,1,Conflits et tensions,0.5,3.7195,-0.3706,negatif,negatif,1.0,0.0,0.0
1237705698,2025-04-13,202504,2025,17,4,-5.0,-8.102345416,UNKNOWN,UNKNOWN,BN,10,negatif,tres_instable,conflit,sud_centre,1,Conflits et tensions,0.6161,6.5512,-0.7889,negatif,negatif,1.0,0.0,0.0
1237712322,2025-04-13,202504,2025,17,4,-5.0,-4.97382199,BEN,UNKNOWN,BN,4,negatif,tres_instable,conflit,sud_centre,1,Conflits et tensions,0.4135,4.9869,-0.4567,negatif,negatif,1.0,0.0,0.0
1237712323,2025-04-13,202504,2025,17,4,-5.0,-4.97382199,BEN,UNKNOWN,BN,1,negatif,tres_instable,conflit,sud_centre,1,Conflits et tensions,0.1781,4.9869,-0.6239,negatif,negatif,1.0,0.0,0.0
1237737173,2025-04-13,202504,2025,3,1,4.0,2.266288952,UNKNOWN,GOV,BN,2,positif,stable,cooperation,sud_centre,0,Evenements neutres,0.2823,-0.8669,0.2982,positif,positif,0.0,0.0,1.0
1237773224,2025-04-13,202504,2025,4,1,1.9,-4.587155963,BEN,UNKNOWN,BN,4,negatif,stable,cooperation,sud_centre,0,Evenements neutres,0.4135,1.3436,-0.4974,negatif,negatif,1.0,0.0,0.0
1237773328,2025-04-13,202504,2025,4,1,2.8,-4.587155963,UNKNOWN,CVL,BN,4,negatif,stable,cooperation,sud_centre,0,Evenements neutres,0.4135,0.8936,-0.447,negatif,negatif,1.0,0.0,0.0
1237773712,2025-04-13,202504,2025,17,4,-5.0,-4.587155963,UNKNOWN,SPY,BN,10,negatif,tres_instable,conflit,sud_centre,1,Conflits et tensions,0.6161,4.7936,-0.3297,negatif,negatif,1.0,0.0,0.0
1237748734,2025-04-13,202504,2025,1,1,0.0,-6.578947368,UNKNOWN,EDU,BN,2,negatif,neutre,cooperation,sud_centre,0,Evenements neutres,0.2823,3.2895,-0.5861,negatif,negatif,1.0,0.0,0.0
1237747803,2025-04-13,202504,2025,4,1,1.9,-7.630522088,BEN,UNKNOWN,BN,2,negatif,stable,cooperation,sud_centre,0,Evenements neutres,0.2823,2.8653,-0.7845,negatif,negatif,1.0,0.0,0.0
1237748402,2025-04-13,202504,2025,4,1,2.8,-7.630522088,TGO,UNKNOWN,BN,2,negatif,stable,cooperation,sud_centre,0,Evenements neutres,0.2823,2.4153,-0.8343,negatif,negatif,1.0,0.0,0.0
