GLOBALEVENTID,SQLDATE,MONTHYEAR,YEAR,EventRootCode,QuadClass,GoldsteinScale,AvgTone,Actor1CountryCode,Actor1Type1Code,ActionGeo_ADM1Code,NumMentions,NumArticles,sentiment_label,sentiment_binary,sentiment_enc,stability_label,event_polarity,geo_zone,month,media_intensity,tension_score,EventRootCode_enc,Actor1CountryCode_enc,Actor1Type1Code_enc,GoldsteinScale_scaled,AvgTone_scaled,NumMentions_scaled,cluster_id,cluster_name
1224040676,2025-02-01,202502,2025,02,1,3.0,1.069518717,BEN,UNKNOWN,BN,4,4,neutre,1,1,stable,cooperation,sud_centre,2,0.4135,-0.9652,1,5,25,0.5313523454448064,0.4967904396923172,-0.316552765442497,0,Evenements neutres
1224018589,2025-02-01,202502,2025,04,1,1.0,2.753195674,UNKNOWN,UNKNOWN,BN,10,10,positif,1,2,neutre,cooperation,sud_centre,2,0.6161,0.8766,3,76,25,0.0963317787306036,0.861383348103566,1.1649307575057584,0,Evenements neutres
1224015838,2025-02-01,202502,2025,12,3,-5.0,-7.157464213,BEN,UNKNOWN,BN,10,10,negatif,0,0,tres_instable,cooperation,sud_centre,2,0.6161,6.0787,11,5,25,-1.2087299214120049,-1.2847268646978016,1.1649307575057584,1,Conflits et tensions
1224016050,2025-02-01,202502,2025,12,3,-4.0,-7.157464213,UNKNOWN,JUD,BN,10,10,negatif,0,0,tres_instable,cooperation,sud_centre,2,0.6161,5.5787,11,76,12,-0.9912196380549034,-1.2847268646978016,1.1649307575057584,1,Conflits et tensions
1224037655,2025-02-01,202502,2025,01,1,0.0,-9.166666667,UNKNOWN,MIL,BN,10,10,negatif,0,0,neutre,cooperation,sud_centre,2,0.6161,4.5833,0,76,16,-0.1211785046264978,-1.7198109010061267,1.1649307575057584,0,Evenements neutres
1224040726,2025-02-01,202502,2025,01,1,0.0,1.069518717,UNKNOWN,COP,BN,4,4,neutre,1,1,neutre,cooperation,sud_centre,2,0.4135,0.5348,0,76,2,-0.1211785046264978,0.4967904396923172,-0.316552765442497,0,Evenements neutres
1224086277,2025-02-01,202502,2025,04,1,1.0,3.519061584,UNKNOWN,UNKNOWN,BN08,14,8,positif,1,2,neutre,cooperation,sud_centre,2,0.6958,1.2595,3,76,25,0.0963317787306036,1.0272282736511975,2.152586439471262,0,Evenements neutres
1224086411,2025-02-01,202502,2025,05,1,3.4,3.519061584,UNKNOWN,HLH,BN08,8,8,positif,1,2,stable,cooperation,sud_centre,2,0.5646,0.0595,4,76,8,0.6183564587876469,1.0272282736511975,0.6711029165230065,0,Evenements neutres
1224076928,2025-02-01,202502,2025,06,2,6.4,-2.3118767,NER,UNKNOWN,BN16,5,5,negatif,0,0,tres_stable,cooperation,sud_centre,2,0.4604,-2.0441,5,55,25,1.2708873088589514,-0.23543600341894155,-0.0696388449511211,0,Evenements neutres
1224089106,2025-02-01,202502,2025,04,1,1.0,-0.939597315,UNKNOWN,UNKNOWN,BN18,4,4,neutre,1,1,neutre,cooperation,sud_centre,2,0.4135,-0.0302,3,76,25,0.0963317787306036,0.06172511769150784,-0.316552765442497,0,Evenements neutres
